"state_abb","DATE","PRCP","SNOW","TMAX","TMIN","Fog","HeavyFog","Thunder","Sleet","Hail","Glaze","Dust","Smoke","DriftSnow","Winds","Mist","Drizzle","Rain","FrzRain","Snow","UnknownPrec","IceFog","State","Demand.Loss..MW.","Date.of.Restoration","Event.Type","Region","Month","dayName","Weekend","Blackout","Season"
"CA",2008-03-08,0,0,71,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Saturday",1,0,"Winter"
"CA",2008-03-09,0,0,73,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Sunday",1,0,"Winter"
"CA",2008-03-10,0,0,74,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Monday",0,0,"Winter"
"CA",2008-03-11,0,0,71,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Tuesday",0,0,"Winter"
"CA",2008-03-12,0,0,69,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Wednesday",0,0,"Winter"
"CA",2008-03-13,0,0,68,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Thursday",0,0,"Winter"
"CA",2008-03-14,0,0,61,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Friday",0,0,"Winter"
"CA",2008-03-15,0,0,60,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Saturday",1,0,"Spring"
"CA",2008-03-16,0,0,64,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Sunday",1,0,"Spring"
"CA",2008-03-17,0,0,73,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Monday",0,0,"Spring"
