Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
3719,WECC,Oregon: Multnomah County; Washington: Idaho: Utah: Wyoming:,Vandalism,0,0,2021-11-30,05:00:00,2021-11-30,05:01:00
3720,NPCC,Maine: Massachusetts: Connecticut: Rhode Island: Vermont: New Hampshire:,Severe Weather,113,113000,2022-11-30,18:45:00,2022-12-02,04:00:00
3721,NPCC,New York: Broome County;,System Operations,0,0,2022-11-30,02:37:00,2022-11-30,06:10:00
3722,SERC,Alabama: Mississippi: Georgia:,Severe Weather,386,54110,2022-11-30,03:35:00,2022-11-30,09:10:00
3723,RF,Pennsylvania:,Vandalism,0,0,2018-12-01,09:40:00,2018-12-04,17:17:00
3724,FRCC,Florida: Leon County;,System Operations,0,0,2018-12-01,16:23:00,2018-12-01,17:09:00
3725,RF,Ohio:,Severe Weather,Unknown,170190,2020-12-01,12:32:00,2020-12-01,22:50:00
3726,MRO,Wisconsin: Eau Claire County;,System Operations,0,0,2021-12-01,10:04:00,2021-12-01,13:08:00
3727,RF,Maryland:,System Operations,0,0,2018-12-02,16:17:00,2018-12-02,20:30:00
3728,TRE,Texas:,System Operations,0,0,2021-12-02,10:33:00,2021-12-02,13:10:00
3729,TRE,Texas:,Transmission Interruption,16,Unknown,2018-12-03,03:15:00,2018-12-03,03:44:00
3730,SERC,Alabama: Covington County;,System Operations,0,0,2019-12-03,19:16:00,2019-12-03,19:49:00
3731,WECC,California: Fresno County;,Vandalism,Unknown,Unknown,2019-12-03,06:55:00,,
3732,WECC,Colorado:,Transmission Interruption,89,0,2020-12-03,09:01:00,2020-12-03,09:03:00
3733,WECC,California: San Diego County;,Severe Weather,93,73000,2020-12-03,00:44:00,2020-12-05,11:03:00
3734,WECC,"California: Kern County, Los Angeles County, Orange County, Riverside County, San Bernardino County, San Diego County, Tulare County, Ventura County;",Severe Weather,132,51686,2020-12-03,10:57:00,2020-12-04,15:02:00
3735,SERC,North Carolina: Moore County;,Vandalism,99,45000,2022-12-03,19:51:00,,
3736,WECC,California:,Severe Weather/Transmission Interruption,540,263000,2017-12-04,21:53:00,,
3737,RF,"Michigan: Oscoda County, Isabella County, Roscommon County, Ogemaw County;",Severe Weather,Unknown,117500,2017-12-05,06:30:00,2017-12-06,10:00:00
3738,SERC,Louisiana:,Vandalism,0,0,2017-12-05,06:50:00,2017-12-05,09:00:00
3739,SERC,Alabama: Chambers County;,Vandalism,0,0,2018-12-05,08:00:00,2018-12-06,08:00:00
3740,WECC,California: Los Angeles County;,Vandalism,0,0,2018-12-05,12:48:00,2018-12-05,12:49:00
3741,RF,Ohio: Kentucky:,System Operations,0,0,2019-12-05,16:48:00,2019-12-09,05:16:00
3742,WECC,Washington: Chelan County;,Suspicious Activity,Unknown,Unknown,2019-12-05,00:00:00,,
3743,NPCC,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,Severe Weather,Unknown,271231,2020-12-05,16:40:00,,
3744,RF,Pennsylvania: York County;,Suspicious Activity,0,0,2022-12-05,18:20:00,2022-12-05,18:55:00
3745,NPCC,New York: Orange County;,Vandalism,0,0,2022-12-05,09:00:00,2022-12-05,13:00:00
3746,RF,Pennsylvania:,System Operations,0,0,2020-12-06,09:45:00,2020-12-06,17:00:00
3747,WECC,California: Sacramento County;,Suspicious Activity,0,0,2022-12-06,09:25:00,,
3748,SERC,Kentucky: Jefferson County;,Vandalism,0,0,2022-12-06,08:26:00,2022-12-06,08:30:00
3749,SERC,Georgia: Heard County;,Suspicious Activity,0,0,2022-12-06,00:00:00,2022-12-06,00:01:00
3750,SERC,Georgia: Bartow County;,Suspicious Activity,0,0,2022-12-06,00:00:00,2022-12-06,00:01:00
3751,RF,Ohio:,Suspicious Activity,2600,Unknown,2022-12-06,12:45:00,,
