Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
1919,SERC,South Carolina:,System Operations,506,0,2016-08-13,11:42:00,2016-08-13,14:07:00
1920,NPCC,New York:,Actual Physical Event,Unknown,40000,2016-08-20,14:18:00,2016-08-20,21:19:00
1921,TRE,Texas: Harris County;,Severe Weather,Unknown,72200,2016-08-23,17:00:00,2016-08-24,00:05:00
1922,PR,Puerto Rico:,System Operations,600,400000,2016-08-24,18:13:00,2016-08-24,19:14:00
1923,WECC,Washington: King County;,Islanding,9232,Unknown,2016-08-24,19:18:00,2016-08-24,19:47:00
1924,WECC,Oregon: Crook County;,Vandalism,0,0,2016-08-25,18:40:00,2016-08-26,18:19:00
1925,WECC,Colorado:,Transmission Interruption,0,0,2016-08-31,09:45:00,2016-08-31,09:55:00
1926,WECC,Washington: Clark County;,Islanding,0,0,2016-08-31,14:52:00,,
1927,FRCC,Florida:,Severe Weather,100,Unknown,2016-09-01,22:00:00,,
1928,FRCC,"Florida: Leon County, Wakulla County;",Severe Weather,450,75000,2016-09-02,00:40:00,2016-09-04,20:00:00
1929,FRCC,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",Severe Weather,225,90000,2016-09-02,04:00:00,2016-09-02,16:00:00
1930,SERC,Georgia:,Severe Weather,Unknown,57000,2016-09-02,05:45:00,2016-09-03,00:30:00
1931,WECC,Washington: Clark County;,Islanding,300,Unknown,2016-09-06,18:12:00,2016-09-06,21:24:00
1932,NPCC,New York: Tompkins County;,Fuel Supply Deficiency,210,Unknown,2016-09-08,08:30:00,2016-09-25,00:00:00
1933,WECC,Washington:,Islanding,0,0,2016-09-08,14:49:00,2016-09-08,15:03:00
1934,WECC,Washington: Clark County;,Generation Inadequacy,135,Unknown,2016-09-10,09:42:00,2016-09-10,09:57:00
1935,NPCC,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,Severe Weather,Unknown,57960,2016-09-11,12:05:00,2016-09-11,15:10:00
1936,WECC,"New Mexico: Bernalillo County, Sandoval County, Santa Fe County, Valencia County;",Generation Inadequacy,110,53753,2016-09-12,12:30:00,2016-09-12,17:56:00
1937,,Puerto Rico:,System Operations,2750,1475000,2016-09-21,14:30:00,2016-09-24,02:30:00
1938,TRE,Texas: Lubbock County;,Actual Physical Event,0,0,2016-09-21,19:44:00,2016-09-21,21:17:00
1939,MRO,Iowa: Black Hawk County;,System Operations,69,19124,2016-09-22,10:56:00,2016-09-22,11:41:00
1940,WECC,"Utah: Kane County, Garfield County; Arizona: Coconino County, Mohave County",Vandalism,20,10000,2016-09-25,12:49:00,2016-09-25,18:20:00
1941,SERC,North Carolina: Stokes County;,Actual Physical Event,0,0,2016-10-31,08:06:00,2016-10-31,15:53:00
1942,WECC,"New Mexico: Bernalillo County, Santa Fe County;",Transmission Interruption,396,149223,2017-02-02,01:04:00,2017-02-02,05:00:00
1943,WECC,New Mexico: Bernalillo County;,Transmission Interruption,400,Unknown,2017-02-02,01:11:00,,
1944,WECC,"Washington: Skagit County, King County, Kitsap County;",Severe Weather,Unknown,103000,2017-02-06,01:00:00,2017-02-06,19:30:00
1945,NPCC,Connecticut: Massachusetts: Rhode Island:,Severe Weather,Unknown,11525,2017-02-09,16:05:00,2017-02-10,05:15:00
1946,WECC,Utah,Actual Physical Attack,0,0,2017-02-11,15:46:00,2017-02-11,15:50:00
1947,SERC,North Carolina: Union County;,Vandalism ,0,0,2017-02-13,13:00:00,2017-02-15,13:35:00
1948,WECC,Nevada: Clark County;,Vandalism ,0,0,2017-02-17,13:00:00,2017-02-17,13:15:00
1949,WECC,California: Los Angeles County;,Severe Weather,Unknown,111591,2017-02-17,15:00:00,2017-02-20,11:00:00
1950,WECC,California,Severe Weather,254,169250,2017-02-17,08:09:00,2017-02-22,19:30:00
1951,SPP,Missouri: Arkansas: Oklahoma: Texas:,System Operations,0,0,2017-02-17,04:32:00,2017-02-17,05:02:00
1952,SERC,Tennessee:,Severe Weather,Unknown,Unknown,2018-01-01,18:21:00,2018-01-02,18:11:00
1953,TRE,Texas:,Severe Weather,Unknown,Unknown,2018-01-01,17:43:00,,
1954,SERC,Tennessee:,System Operations,Unknown,Unknown,2018-01-01,21:37:00,2018-01-02,10:30:00
1955,WECC,California: Alameda County;,Vandalism,0,0,2021-01-01,07:04:00,2021-01-01,07:05:00
1956,WECC,Washington: Thurston County;,System Operations,0,0,2022-01-01,12:36:00,2022-01-01,14:12:00
1957,WECC,Washington: Thurston County;,System Operations,0,0,2022-01-01,12:36:00,2022-01-02,19:43:00
1958,SERC,Georgia: Clayton County;,Vandalism,0,0,2022-01-01,01:01:00,,
1959,NPCC,New Hampshire: Merrimack County;,Suspicious Activity,2,845,2022-01-01,00:06:00,2022-01-01,05:51:00
1960,WECC,California: Riverside County;,Vandalism,0,0,2023-01-01,00:06:00,2023-01-01,03:57:00
1961,WECC,California: Sacramento County;,System Operations,0,0,2023-01-01,09:55:00,2023-01-01,10:30:00
1962,SERC,Florida: Citrus County;,Vandalism,19,3509,2023-01-01,14:47:00,2023-01-01,16:50:00
1963,NPCC,New York: Niagara County;,Fuel Supply Deficiency,675,Unknown,2018-01-02,10:00:00,2018-02-12,08:00:00
1964,SERC,South Carolina:,Severe Weather,0,717000,2018-01-02,07:30:00,,
1965,SERC,North Carolina: South Carolina:,Severe Weather,14998,Unknown,2018-01-02,06:45:00,2018-01-02,09:00:00
1966,WECC,California: Butte County;,System Operations,8,5803,2021-01-02,10:28:00,2021-01-02,10:29:00
1967,WECC,California: Tuolumne County;,Severe Weather,3,1706,2022-01-02,13:21:00,2022-01-02,17:38:00
1968,TRE,Texas: Dallas County;,Vandalism,0,0,2023-01-02,16:12:00,2023-01-03,09:30:00
1969,WECC,New Mexico:,Vandalism,432,0,2023-01-02,03:16:00,2023-01-02,16:46:00
1970,SERC,Arkansas: Union County; Louisiana: Ouachita Parish;,Severe Weather,20,6849,2023-01-02,18:22:00,2023-01-02,22:27:00
1971,WECC,Washington: Thurston County;,Vandalism,0,0,2022-01-03,12:45:00,2022-01-03,12:46:00
1972,SERC,South Carolina:,Severe Weather,Unknown,60424,2022-01-03,05:00:00,2022-01-04,18:00:00
1973,SERC,North Carolina: South Carolina:,Severe Weather,Unknown,142000,2022-01-03,05:30:00,2022-01-04,12:30:00
1974,SERC,Georgia: Alabama: Mississippi:,Severe Weather,283,40885,2022-01-03,01:00:00,2022-01-03,14:00:00
1975,RF,Michigan: Ingham County;,Vandalism,0,0,2023-01-03,11:45:00,2023-01-03,12:00:00
1976,TRE,Texas: Midland County;,Actual Physical Attack,Unknown,500,2018-01-04,01:49:00,2018-01-04,02:09:00
1977,RF,Pennsylvania:,Transmission Interruption,6,3825,2021-01-04,10:34:00,2021-01-04,10:49:00
1978,FRCC,Florida: Martin County;,Suspected Physical Attack,0,0,2017-01-05,16:56:00,2017-01-05,16:57:00
1979,WECC,Washington:,System Operations,0,Unknown,2019-01-05,13:19:00,2019-01-05,15:07:00
1980,NPCC,Massachusetts: Plymouth County;,System Operations,0,0,2022-01-05,12:32:00,2022-01-05,12:45:00
1981,SERC,Louisiana: Concordia Parish;,Transmission Interruption,23,1631,2023-01-05,08:19:00,2023-01-05,08:20:00
1982,WECC,Washington: Lewis County;,Suspicious Activity,0,0,2023-01-05,07:30:00,2023-01-05,09:30:00
1983,WECC,Washington:,Severe Weather,230,230000,2019-01-06,03:00:00,2019-01-09,07:00:00
1984,WECC,California: Sacramento County;,Severe Weather,300,90382,2019-01-06,17:56:00,2019-01-06,21:52:00
1985,WECC,"Washington: King County, Thurston County, Pierce County;",Severe Weather,Unknown,230000,2019-01-06,01:00:00,2019-01-06,12:00:00
1986,RF,Ohio: Sandusky County;,Suspicious Activity,Unknown,Unknown,2023-01-06,09:30:00,2023-01-06,11:30:00
1987,RF,Michigan:,System Operations,0,0,2019-01-07,20:57:00,2019-01-07,21:32:00
1988,WECC,California: Sacramento County;,Severe Weather,458,185434,2023-01-07,22:00:00,2023-01-08,21:00:00
1989,TRE,"Texas: Jasper County, Tyler County;",Transmission Interruption,20,9823,2023-01-07,23:44:00,2023-01-08,02:29:00
1990,WECC,California,Severe Weather,Unknown,106000,2017-01-08,09:07:00,2017-01-13,14:30:00
1991,WECC,California,Fuel Supply Deficiency,0,0,2017-01-08,23:59:00,,
1992,SERC,Arkansas: Prairie County;,Sabotage,Unknown,1908,2021-01-08,01:26:00,2021-01-08,02:45:00
1993,SERC,Florida: Citrus County;,Vandalism,0,0,2022-01-08,02:20:00,2022-01-12,07:40:00
1994,NPCC,New Hampshire: Merrimack County;,Suspicious Activity,0,0,2022-01-08,18:07:00,2022-01-08,22:26:00
1995,TRE,"Texas: Cameron County, Willacy County;",System Operations,0,0,2022-01-08,02:56:00,2022-01-08,03:03:00
1996,TRE,Texas: Bowie County;,Vandalism,0,0,2023-01-08,18:40:00,2023-01-08,18:54:00
1997,WECC,New Mexico: San Juan County;,Suspicious Activity,0,0,2019-01-09,11:55:00,2019-01-09,11:56:00
1998,SPP RE,Arkansas: Yell County;,Severe Weather/Transmission Interruption,0,0,2020-01-09,23:07:00,2020-01-09,23:19:00
1999,WECC,Washington: King County;,Suspicious Activity,0,0,2020-01-09,20:45:00,2020-01-10,21:23:00
2000,MRO,Minnesota: North Dakota: Wisconsin:,System Operations,0,0,2020-01-09,07:40:00,2020-01-09,08:48:00
2001,SPP RE,Arkansas:,System Operations,Unknown,Unknown,2020-01-09,23:07:00,2020-01-09,23:18:00
2002,SERC,Mississippi: Adams County;,System Operations,Unknown,Unknown,2022-01-09,18:08:00,,
2003,WECC,California,Severe Weather,Unknown,87000,2017-01-10,19:30:00,2017-01-13,14:30:00
2004,WECC,Montana: Valley County;,System Operations,11,2,2019-01-10,12:19:00,2019-01-10,12:48:00
2005,SERC,Tennessee: Hamilton County;,Suspicious Activity,Unknown,Unknown,2020-01-10,14:53:00,,
2006,TRE,"Texas: Anderson County, Angelina County, Dallas County, Freestone County, Henderson County, Houston County, Leon County, Nacogdoches County, Smith County, Tarrant County;",Severe Weather,Unknown,188000,2021-01-10,22:44:00,2021-01-13,16:00:00
2007,RF,Maine:,System Operations,0,0,2019-01-11,11:36:00,2019-01-11,12:43:00
2008,SPP RE,Arkansas: Cross County;,Severe Weather/Transmission Interruption,22,7541,2020-01-11,02:25:00,2020-01-11,07:56:00
2009,SERC,North Carolina: South Carolina:,Severe Weather,Unknown,66475,2020-01-11,23:02:00,2020-01-12,02:01:00
2010,SPP RE,Arkansas: Texas:,Severe Weather,Unknown,68138,2020-01-11,03:30:00,2020-01-11,17:30:00
2011,SERC,Tennessee:,Severe Weather,4,Unknown,2020-01-11,13:20:00,,
2012,SERC,Alabama: Georgia: Mississippi:,Severe Weather,219,30715,2020-01-11,12:50:00,2020-01-12,13:33:00
2013,SERC,Louisiana: Texas:,Severe Weather/Distribution Interruption,Unknown,58000,2021-01-11,05:00:00,2021-01-11,14:22:00
2014,RF,"Michigan: Midland County, Genesee County;",System Operations,41,23007,2018-01-12,13:08:00,2018-01-12,14:53:00
2015,SPP RE,Missouri: Jackson County; Kansas: Johnson County;,Severe Weather,Unknown,112530,2019-01-12,11:30:00,2019-01-13,22:00:00
2016,SERC,Missouri: Nebraska:,Severe Weather,Unknown,116600,2019-01-12,11:30:00,,
2017,NPCC,New Hampshire:,System Operations,0,0,2019-01-12,19:20:00,2019-01-12,21:38:00
2018,TRE,Texas: Brazos County;,Suspicious Activity,0,0,2020-01-12,11:15:00,2020-01-12,11:18:00
2019,WECC,"Washington: Kitsap County, Thurston County, King County, Pierce County, Skagit County, Whatcom County;",Severe Weather,100,320000,2021-01-12,23:50:00,2021-01-15,13:00:00
2020,WECC,"Oregon: Clackamas County, Multnomah County, Washington County;",Severe Weather,Unknown,94231,2021-01-12,20:46:00,2021-01-13,16:00:00
2021,WECC,Washington:,Severe Weather/Distribution Interruption,150,70000,2021-01-12,23:49:00,2021-01-14,14:00:00
2022,WECC,Washington: Snohomish County;,Severe Weather/Transmission Interruption,200,62000,2021-01-12,20:30:00,,
2023,SERC/RF,Indiana: Kentucky: Ohio:,System Operations,Unknown,Unknown,2022-01-12,09:20:00,2022-01-12,10:25:00
2024,WECC,California: Sacramento County;,Suspicious Activity,0,0,2023-01-12,10:00:00,,
2025,SERC,Alabama: Georgia:,Severe Weather,1158,162000,2023-01-12,14:00:00,2023-01-13,03:00:00
2026,WECC,Washington: King County;,Vandalism,Unknown,Unknown,2023-01-12,11:58:00,2023-01-12,12:30:00
2027,SERC,North Carolina: South Carolina:,Severe Weather,133200,Unknown,2019-01-13,05:30:00,2019-01-15,17:00:00
2028,WECC,Washington: Idaho:,Severe Weather,185,70417,2021-01-13,03:43:00,2021-01-13,16:00:00
2029,SERC,Georgia: Houston County;,Vandalism,0,0,2021-01-13,13:05:00,2021-01-13,13:06:00
2030,NPCC,Massachusetts: Hampden County[13];,Suspicious Activity,0,0,2022-01-13,16:00:00,2022-01-13,16:01:00
2031,TRE,Texas: Fayette County;,Suspicious Activity,0,0,2023-01-13,00:00:00,2023-01-13,01:00:00
2032,RF,Michigan:,Actual Physical Attack,Unknown,Unknown,2019-01-14,11:10:00,,
2033,FRCC,Florida: Alachua County;,Suspicious Activity,0,0,2020-01-14,00:00:00,2020-01-14,01:00:00
2034,NPCC,Pennsylvania: Bucks County;,Suspicious Activity,0,0,2022-01-14,13:50:00,2022-01-14,14:13:00
2035,TRE/WECC,Texas: Potter County; New Mexico:,Transmission Interruption,0,0,2022-01-14,08:34:00,2022-01-14,08:42:00
2036,WECC,California: Los Angeles County;,Transmission Disruption,176,126000,2017-01-15,06:35:00,2017-01-15,07:44:00
2037,SPP,Oklahoma: Harper County;,Severe Weather,1,788,2017-01-15,09:27:00,2017-01-17,01:58:00
2038,TRE,Texas:,Severe Weather,Unknown,Unknown,2018-01-15,04:20:00,2018-01-18,05:48:00
2039,RF,Pennsylvania:,Vandalism,0,0,2019-01-15,08:00:00,2019-01-15,08:02:00
2040,SERC,Missouri:,System Operations,0,0,2021-01-15,17:48:00,2021-01-15,18:55:00
2041,NPCC,New York: Orange County;,Suspicious Activity,0,0,2022-01-15,14:09:00,2022-01-15,14:28:00
2042,SERC,Tennessee:,Severe Weather,Unknown,Unknown,2018-01-16,15:00:00,2018-01-18,13:00:00
2043,SERC,Tennessee: Shelby County;,System Operations,Unknown,Unknown,2018-01-16,15:00:00,2018-01-18,13:00:00
2044,TRE,Texas:,Severe Weather,Unknown,Unknown,2018-01-16,13:57:00,2018-01-16,14:32:00
2045,WECC,California:,Severe Weather,190,126700,2019-01-16,17:26:00,2019-01-17,12:19:00
2046,TRE,Texas: Nueces County;,System Operations,0,0,2019-01-16,05:19:00,2019-01-16,07:14:00
2047,TRE,Texas: Harris County;,System Operations,0,0,2020-01-16,11:06:00,2020-01-16,11:36:00
2048,SERC,North Carolina: Jackson County; South Carolina: Greenville County;,Severe Weather,Unknown,51289,2022-01-16,12:05:00,2022-01-17,08:45:00
2049,SERC,North Carolina: South Carolina:,Severe Weather,Unknown,74638,2022-01-16,13:15:00,2022-01-16,17:15:00
2050,SERC,Georgia: Alabama:,Severe Weather,436,61113,2022-01-16,05:15:00,2022-01-17,00:06:00
2051,SERC,Mississippi:,System Operations,1788,420000,2018-01-17,05:10:00,2018-01-17,13:00:00
2052,SERC,Louisiana:,System Operations,Unknown,Unknown,2018-01-17,06:10:00,2018-01-17,14:00:00
2053,WECC,California: Humboldt County;,Severe Weather/Transmission Interruption,87,67864,2020-01-17,05:28:00,2020-01-17,10:13:00
2054,WECC,California,Severe Weather,Unknown,75000,2017-01-18,18:05:00,2017-01-19,00:05:00
2055,SERC,Arkansas: Mississippi: Louisiana: Texas:,Severe Weather,31500,Unknown,2018-01-18,05:00:00,2018-01-18,11:00:00
2056,SERC,Mississippi:,System Operations,1760,420000,2018-01-18,05:00:00,2018-01-18,09:45:00
2057,SERC,Louisiana:,System Operations,Unknown,Unknown,2018-01-18,06:00:00,,
2058,MRO,Nebraska:,Transmission Interruption,8,Unknown,2019-01-18,21:54:00,2019-01-19,00:19:00
2059,NPCC,Connecticut:,System Operations,0,0,2021-01-18,14:07:00,2021-01-18,14:42:00
2060,TRE,Texas: Harris County;,Cyber Event,0,0,2022-01-18,22:22:00,2022-01-18,22:23:00
2061,WECC,"California: Kern County, Los Angeles County, Riverside County, San Bernardino County, Ventura County, Orange County;",Severe Weather,Unknown,173746,2021-01-19,09:31:00,2021-01-21,14:36:00
2062,WECC,California:,Severe Weather,411,124888,2021-01-19,02:48:00,2021-01-20,11:41:00
2063,NPCC,Maine:,System Operations,0,0,2022-01-19,14:35:00,2022-01-19,16:02:00
2064,SERC,South Carolina: Sumter County;,Suspicious Activity,Unknown,Unknown,2023-01-19,11:00:00,2023-01-19,13:00:00
2065,WECC,California: Los Angeles County;,Vandalism,0,0,2020-01-20,06:30:00,2020-01-20,06:31:00
2066,TRE/SERC,Mississippi: Arkansas: Louisiana: Texas:,Severe Weather,0,0,2022-01-20,19:57:00,2022-01-21,05:30:00
2067,NPCC,Maine:,System Operations,0,0,2022-01-20,09:00:00,2022-01-20,09:59:00
2068,RF,Michigan: Oakland County;,Vandalism,Unknown,0,2023-01-20,10:45:00,,
2069,TRE,Texas: Louisiana: Arkansas: Pulaski County; Mississippi:,Vandalism,0,0,2021-01-21,00:00:00,2021-02-03,16:55:00
2070,WECC,California,Severe Weather,97,64000,2017-01-22,04:15:00,2017-01-24,14:00:00
2071,WECC,California,Fuel Supply Deficiency,0,0,2017-01-22,06:00:00,,
2072,SERC,Alabama: Georgia: Mississippi: Florida:,Severe Weather,100,29965,2017-01-22,16:00:00,2017-01-23,03:26:00
2073,WECC,Nevada: Humboldt County;,Actual Physical Attack,7,3120,2020-01-22,02:57:00,2020-01-22,03:17:00
2074,WECC,Colorado: Larimer County;,System Operations,0,0,2019-01-23,07:26:00,2019-01-23,17:05:00
2075,FRCC,Florida: Manatee County;,Vandalism,0,0,2020-01-23,23:30:00,2020-01-24,00:39:00
2076,SERC,Georgia: Laurens County;,Cyber Event,29,Unknown,2021-01-23,07:00:00,2021-01-27,13:45:00
2077,WECC,"California: Placer County, Nevada County;",Suspicious Activity,45,0,2021-01-23,07:45:00,2021-01-23,08:00:00
2078,RF,Pennsylvania: Westmoreland County;,Suspicious Activity,0,0,2022-01-23,00:37:00,2022-01-23,00:42:00
2079,NPCC,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,Severe Weather,Unknown,41000,2023-01-23,07:05:00,2023-01-24,17:17:00
2080,WECC,California: Sacramento County;,Suspicious Activity,Unknown,Unknown,2023-01-23,17:00:00,,
2081,WECC,California: Sacramento County;,Suspicious Activity,Unknown,Unknown,2023-01-23,09:21:00,,
2082,RF,Ohio:,System Operations,0,0,2019-01-24,04:39:00,2019-01-24,05:16:00
2083,WECC,California:,Fuel Supply Deficiency,0,0,2020-01-24,04:34:00,,
2084,WECC,Washington: Chelan County;,System Operations,0,0,2022-01-24,10:27:00,2022-01-24,10:51:00
2085,NPCC,"New York: Dutchess County, Greene County;",Sabotage,0,0,2022-01-24,11:50:00,2022-01-24,16:00:00
2086,SERC,Louisiana:,Vandalism,0,0,2023-01-24,14:00:00,2023-01-24,15:00:00
2087,NPCC,New York: Queens County;,Suspicious Activity,0,0,2023-01-24,17:10:00,2023-01-24,17:20:00
2088,TRE,Texas: Harris County;,Severe Weather,Unknown,100731,2023-01-24,15:25:00,2023-01-26,20:20:00
2089,RF,Pennsylvania: Montgomery County;,Suspicious Activity,Unknown,Unknown,2018-01-25,20:19:00,2018-01-26,02:00:00
2090,WECC,Washington: Kitsap County;,Vandalism,0,0,2023-01-25,22:30:00,2023-01-26,00:01:00
2091,TRE,Texas: Cameron County;,Suspicious Activity,0,0,2023-01-25,15:57:00,2023-01-25,17:38:00
2092,SERC,Arkansas: Texas: Louisiana: Mississippi:,Severe Weather,Unknown,60958,2023-01-25,03:30:00,2023-01-25,13:00:00
2093,WECC,California:,Severe Weather,841,255715,2021-01-26,20:49:00,2021-01-28,21:14:00
2094,SERC,Florida: Leon County;,System Operations,0,0,2022-01-26,13:37:00,2022-01-26,14:15:00
2095,WECC,Washington: King County;,Vandalism,0,0,2023-01-26,07:00:00,2023-01-26,14:46:00
2096,MRO,North Dakota: South Dakota: Montana:,System Operations,540,130000,2020-01-27,14:10:00,2020-01-27,18:58:00
2097,NPCC,New Hampshire: Hillsborough County;,Vandalism,0,0,2021-01-27,12:30:00,2021-01-27,16:18:00
2098,WECC,Nevada: Clark County;,Vandalism,0,0,2022-01-27,11:30:00,2022-01-27,11:31:00
2099,WECC,Utah: Iron County;,Actual Physical Attack,0,0,2019-01-28,13:35:00,2019-01-28,13:40:00
2100,NPCC,New Hampshire: Hillsborough County;,Vandalism,0,0,2021-01-28,10:15:00,2021-01-28,16:46:00
2101,WECC,"Colorado: Douglas County, Pueblo County, El Paso County, Prowers County;",Transmission Interruption,0,0,2022-01-28,15:41:00,2022-01-28,21:30:00
2102,SERC/RF,Illinois: Franklin County;,Suspicious Activity,0,0,2023-01-28,04:00:00,2023-01-28,05:00:00
2103,SERC,Louisiana: Washington Parish;,Transmission Interruption,Unknown,Unknown,2019-01-29,18:34:00,2019-01-29,18:36:00
2104,NPCC,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,Severe Weather,120,12000,2022-01-29,08:45:00,2022-01-30,01:00:00
2105,SERC,Kentucky:,System Operations,0,0,2023-01-29,08:19:00,2023-01-29,11:07:00
2106,WECC,Washington:,Vandalism,0,0,2019-01-30,16:30:00,,
2107,SERC,Illinois: Scott County;,Fuel Supply Deficiency,Unknown,Unknown,2019-01-30,04:23:00,2019-02-02,09:00:00
2108,RF,Michigan:,Severe Weather,Unknown,Unknown,2019-01-30,09:30:00,2019-01-31,18:00:00
2109,SERC,Illinois: Pike County;,Severe Weather,Unknown,Unknown,2019-01-30,07:00:00,2019-01-30,08:08:00
2110,MRO,North Dakota: Burleigh County;,Transmission Interruption,75,0,2020-01-30,03:01:00,2020-01-30,04:36:00
2111,MRO,Nebraska:,System Operations,0,0,2022-01-30,20:41:00,2022-01-31,00:42:00
2112,MRO,Minnesota:,Suspicious Activity,Unknown,Unknown,2023-01-30,10:30:00,,
2113,WECC,California:,Vandalism,0,0,2019-01-31,21:33:00,2019-01-31,21:34:00
2114,WECC,California:,Suspicious Activity,0,0,2020-01-31,09:50:00,2020-02-03,10:00:00
2115,RF,West Virginia: Monongalia County;,Suspicious Activity,0,0,2022-01-31,19:58:00,2022-01-31,20:10:00
2116,TRE,"Texas: Dallas County, Anderson County, Bosque County, Collin County, Comanche County, Cooke County, Delta County, Denton County, Ellis County, Erath County, Fannin County, Freestone County, Hamilton County, Henderson County, Hill County, Hood County, Hopkins County, Hunt County, Jack County, Johnson County, Kaufman County, Lamar County, Navarro County, Palo Pinto County, Parker County, Rains County, Red River County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wichita County, Wise County;",Severe Weather,Unknown,360000,2023-01-31,08:15:00,2023-02-06,17:00:00
2117,WECC,Nevada,Vandalism,Unknown,1,2019-02-01,23:57:00,2019-02-02,08:49:00
2118,NPCC,Massachusetts,System Operations,0,0,2019-02-01,05:35:00,2019-02-01,06:10:00
2119,TRE,Texas: Kleberg County;,Transmission Interruption,13,6102,2021-02-01,23:25:00,2021-02-02,01:12:00
2120,WECC,California: Yuba County;,System Operations,10,8124,2022-02-01,12:13:00,2022-02-01,12:25:00
2121,TRE,Texas: Travis County;,Severe Weather,370,173879,2023-02-01,05:00:00,2023-02-04,22:39:00
2122,WECC,California,Vandalism,0,0,2019-02-02,10:28:00,2019-02-02,10:29:00
2123,MRO,South Dakota: Hughes County;,Severe Weather/Transmission Interruption,5,4,2021-02-02,12:34:00,2021-02-02,15:43:00
2124,MRO,South Dakota: Hughes County;,Severe Weather/Transmission Interruption,5,3,2021-02-02,09:25:00,2021-02-03,11:38:00
2125,WECC,Colorado:,Vandalism,0,0,2023-02-02,22:07:00,2023-02-03,16:08:00
2126,RF,Pennsylvania: Westmoreland County;,Suspicious Activity,0,0,2023-02-02,11:00:00,,
2127,SERC,Arkansas: Mississippi: Texas:,Severe Weather,Unknown,74426,2023-02-02,08:15:00,2023-02-02,19:45:00
2128,RF,Maryland: Cecil County;,Suspicious Activity,0,0,2023-02-02,14:37:00,2023-02-02,14:47:00
2129,MRO,"North Dakota: Logan County, Emmons County, McIntosh County;",Transmission Interruption,7,1400,2021-02-03,14:22:00,2021-02-04,22:32:00
2130,SERC,Tennessee: Shelby County;,Severe Weather/Transmission Interruption,Unknown,255000,2022-02-03,10:00:00,2022-02-07,20:00:00
2131,RF,Ohio:,Severe Weather/Transmission Interruption,Unknown,51000,2022-02-03,12:56:00,2022-02-04,20:30:00
2132,RF,Ohio:,Severe Weather/Transmission Interruption,Unknown,51000,2022-02-03,12:56:00,,
2133,WECC,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,Vandalism,0,0,2023-02-03,16:00:00,2023-02-03,16:45:00
2134,WECC,California:,Vandalism,9760,0,2018-02-04,13:42:00,2018-02-04,15:25:00
2135,TRE,Texas:,Transmission Interruption,Unknown,Unknown,2022-02-04,18:21:00,2022-02-04,22:00:00
2136,NPCC,New York: Ulster County;,Severe Weather/Transmission Interruption,Unknown,67404,2022-02-04,13:10:00,,
2137,RF,Ohio: Gallia County;,Vandalism,2000,Unknown,2023-02-04,11:14:00,2023-02-04,12:55:00
2138,WECC,California,Severe Weather,42,33200,2019-02-05,18:17:00,2019-02-05,20:26:00
2139,SERC,Arkansas: Arkansas County;,Vandalism,0,0,2021-02-05,09:43:00,2021-02-05,11:19:00
2140,SERC,North Carolina:,Severe Weather/Distribution Interruption,Unknown,284256,2020-02-06,14:29:00,2020-02-07,12:44:00
2141,SERC,North Carolina: South Carolina:,Severe Weather/Transmission Interruption,Unknown,89500,2020-02-06,13:30:00,2020-02-07,20:08:00
2142,RF,Ohio: Kentucky:,Transmission Interruption,0,0,2021-02-06,06:50:00,2021-02-06,14:43:00
2143,SERC,Florida: Hillsborough County;,System Operations,0,0,2023-02-06,17:06:00,2023-02-06,17:31:00
2144,RF,Maryland:,Suspicious Activity,0,0,2023-02-06,10:00:00,2023-02-06,10:02:00
2145,SERC,Arkansas,Severe Weather/Transmission Interruption,3,3370,2019-02-07,07:39:00,2019-02-07,07:40:00
2146,RF,Michigan,Severe Weather,Unknown,233000,2019-02-07,08:55:00,2019-02-09,16:30:00
2147,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,Severe Weather,Unknown,123359,2020-02-07,16:25:00,2020-02-08,12:00:00
2148,NPCC,New York:,Severe Weather,Unknown,7500,2020-02-07,14:42:00,2020-02-10,09:25:00
2149,RF,Pennsylvania:,Severe Weather/Distribution Interruption,Unknown,52000,2020-02-07,11:00:00,,
2150,SERC,Virginia: North Carolina:,Severe Weather,Unknown,87000,2020-02-07,08:48:00,,
2151,TRE,Texas: Cameron County;,Suspicious Activity,0,0,2021-02-07,06:57:00,2021-02-07,07:34:00
2152,MRO,Wisconsin: La Crosse County;,System Operations,0,0,2023-02-07,13:34:00,2023-02-07,14:06:00
2153,SERC,Illinois: DuPage County;,Suspicious Activity,0,0,2023-02-07,06:15:00,2023-02-07,06:20:00
2154,NPCC,New York: Queens County;,Suspicious Activity,0,0,2023-02-07,08:30:00,,
