STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT22
USW00094728,"NY CITY CENTRAL PARK, NY US",6/25/2008,0,0,83,63,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/26/2008,0.03,0,81,71,1,,,,1,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/27/2008,0,0,83,73,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/28/2008,0.47,0,89,72,1,1,,,1,,1,1,,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/29/2008,0.59,0,88,70,1,1,,,1,,,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/30/2008,0.01,0,83,70,1,,,,,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/1/2008,0,0,85,70,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/2/2008,0,0,85,67,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/3/2008,0,0,89,71,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/4/2008,0.32,0,78,69,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/5/2008,0.25,0,74,68,1,,,,1,,,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/6/2008,0,0,79,68,1,,,,,,1,1,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/7/2008,0,0,82,70,1,,,,,,1,1,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/8/2008,0,0,89,73,1,,,,,,1,1,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/9/2008,0.05,0,85,74,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/10/2008,0,0,85,71,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/11/2008,0,0,87,66,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/12/2008,0,0,85,71,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/13/2008,0,0,84,71,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/14/2008,0.47,0,81,67,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/15/2008,0,0,89,70,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/16/2008,0,0,92,70,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/17/2008,0,0,93,72,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/18/2008,0,0,94,74,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/19/2008,0,0,96,78,,,,,,,1,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/20/2008,0.01,0,94,75,,,,,1,,,,,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/21/2008,0.01,0,92,73,1,,,,,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/22/2008,0.01,0,87,73,1,,,,,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/23/2008,1,0,80,69,1,1,,,1,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/24/2008,0.66,0,81,69,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/25/2008,0,0,86,66,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/26/2008,0,0,87,71,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/27/2008,0.06,0,83,67,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/28/2008,0,0,86,66,1,,,,,,1,1,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/29/2008,0,0,89,72,,,,,,,1,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/30/2008,0,0,87,72,,,,,,,1,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/31/2008,0,0,89,75,,,,,,,1,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/1/2008,0,0,90,74,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/2/2008,0.51,0,81,67,1,1,,,1,,,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/3/2008,0,0,84,64,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/4/2008,0,0,85,68,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/5/2008,0.04,0,86,69,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/6/2008,0.33,0,87,70,1,,,,1,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/7/2008,0.08,0,86,66,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/8/2008,0.17,0,80,64,1,,,,1,,,1,,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/9/2008,0,0,81,63,,,,,,,,,,,,,,,,,
